usr-1 itm-2876 1
usr-1 itm-263 2
usr-1 itm-3757 3
usr-1 itm-841 4
usr-1 itm-2429 5
usr-1 itm-3382 6
usr-1 itm-1875 7
usr-1 itm-666 8
usr-1 itm-2130 9
usr-1 itm-3192 10
usr-2 itm-2436 1
usr-2 itm-1153 2
usr-2 itm-757 3
usr-2 itm-617 4
usr-2 itm-3127 5
usr-2 itm-2507 6
usr-2 itm-3058 7
usr-2 itm-1725 8
usr-2 itm-117 9
usr-2 itm-887 10
usr-3 itm-615 1
usr-3 itm-1267 2
usr-3 itm-2140 3
usr-3 itm-3684 4
usr-3 itm-1913 5
usr-3 itm-2492 6
usr-3 itm-3571 7
usr-3 itm-1355 8
usr-3 itm-3877 9
usr-3 itm-1630 10
usr-4 itm-3378 1
usr-4 itm-2622 2
usr-4 itm-1419 3
usr-4 itm-3622 4
usr-4 itm-1510 5
usr-4 itm-2608 6
usr-4 itm-85 7
usr-4 itm-3808 8
usr-4 itm-2240 9
usr-4 itm-2435 10
usr-5 itm-3376 1
usr-5 itm-1208 2
usr-5 itm-975 3
usr-5 itm-3597 4
usr-5 itm-536 5
usr-5 itm-156 6
usr-5 itm-3479 7
usr-5 itm-1610 8
usr-5 itm-2977 9
usr-5 itm-2391 10
usr-6 itm-3044 1
usr-6 itm-3640 2
usr-6 itm-2738 3
usr-6 itm-3242 4
usr-6 itm-2106 5
usr-6 itm-895 6
usr-6 itm-938 7
usr-6 itm-2891 8
usr-6 itm-1510 9
usr-6 itm-494 10
usr-7 itm-337 1
usr-7 itm-3269 2
usr-7 itm-1965 3
usr-7 itm-88 4
usr-7 itm-2144 5
usr-7 itm-2895 6
usr-7 itm-3519 7
usr-7 itm-2458 8
usr-7 itm-236 9
usr-7 itm-2049 10
usr-8 itm-267 1
usr-8 itm-3574 2
usr-8 itm-1764 3
usr-8 itm-968 4
usr-8 itm-932 5
usr-8 itm-3769 6
usr-8 itm-3919 7
usr-8 itm-3212 8
usr-8 itm-2492 9
usr-8 itm-2888 10
usr-9 itm-2410 1
usr-9 itm-2039 2
usr-9 itm-1263 3
usr-9 itm-3304 4
usr-9 itm-2649 5
usr-9 itm-199 6
usr-9 itm-1593 7
usr-9 itm-2005 8
usr-9 itm-3615 9
usr-9 itm-2253 10
usr-10 itm-2081 1
usr-10 itm-130 2
